mz,abundance
731.633,130
731.694,133
731.754,154
731.815,170
731.876,200
731.937,233
731.998,256
732.059,280
732.12,270
732.181,261
732.242,245
732.303,218
732.364,204
732.425,180
732.485,162
732.546,138
732.607,135
732.668,132
732.729,126
732.79,127
732.851,140
732.912,147
732.973,167
733.034,166
733.095,156
733.156,164
733.217,160
733.278,171
733.339,167
733.4,167
733.461,153
733.522,163
733.583,158
733.644,151
733.705,167
733.766,158
733.827,171
733.887,182
733.948,182
734.009,192
734.07,198
734.131,207
734.192,217
734.253,218
734.314,224
734.375,238
734.436,258
734.498,279
734.559,264
734.62,254
734.681,231
734.742,205
734.803,193
734.864,190
734.925,186
734.986,192
735.047,213
735.108,222
735.169,222
735.23,211
735.291,199
735.352,191
735.413,184
735.474,184
735.535,175
735.596,169
735.657,167
735.718,172
735.779,173
735.84,183
735.902,187
735.963,182
736.024,191
736.085,196
736.146,196
736.207,222
736.268,263
736.329,300
736.39,357
736.451,377
736.512,383
736.573,379
736.635,369
736.696,362
736.757,352
736.818,340
736.879,336
736.94,328
737.001,331
737.062,343
737.123,329
737.185,348
737.246,374
737.307,390
737.368,425
737.429,462
737.49,471
737.551,487
737.613,480
737.674,431
737.735,407
737.796,368
737.857,320
737.918,302
737.979,278
738.041,261
738.102,256
738.163,253
738.224,250
738.285,252
738.346,244
738.408,234
738.469,228
738.53,229
738.591,227
738.652,217
738.714,218
738.775,220
738.836,230
738.897,258
738.958,278
739.02,282
739.081,286
739.142,260
739.203,239
739.264,231
739.326,220
739.387,218
739.448,227
739.509,235
739.571,230
739.632,235
739.693,227
739.754,219
739.815,208
739.877,187
739.938,175
739.999,170
740.06,160
740.122,152
740.183,145
740.244,137
740.305,138
740.367,152
740.428,160
740.489,167
740.55,170
740.612,175
740.673,173
740.734,169
740.796,179
740.857,182
740.918,179
740.979,193
741.041,202
741.102,216
741.163,235
741.225,259
741.286,265
741.347,269
741.408,266
741.47,231
741.531,218
741.592,214
741.654,206
741.715,217
741.776,215
741.838,222
741.899,229
741.96,227
742.022,235
742.083,234
742.144,220
742.206,204
742.267,178
742.328,153
742.39,142
742.451,136
742.512,133
742.574,133
742.635,133
742.696,134
742.758,140
742.819,142
742.88,150
742.942,152
743.003,151
743.065,144
743.126,134
743.187,128
743.249,116
743.31,101
743.372,94
743.433,86
743.494,84
743.556,84
743.617,98
743.678,110
743.74,123
743.801,132
743.863,139
743.924,141
743.985,150
744.047,154
744.108,149
744.17,152
744.231,147
744.293,142
744.354,158
744.415,166
744.477,174
744.538,172
744.6,157
744.661,156
744.723,148
744.784,147
744.846,153
744.907,166
744.968,168
745.03,181
745.091,187
745.153,174
745.214,174
745.276,180
745.337,175
745.399,177
745.46,181
745.522,166
745.583,153
745.645,144
745.706,136
745.768,140
745.829,152
745.89,159
745.952,167
746.013,162
746.075,161
746.136,166
746.198,158
746.259,154
746.321,150
746.382,138
746.444,139
746.506,159
746.567,186
746.629,205
746.69,212
746.752,228
746.813,229
746.875,232
746.936,230
746.998,230
747.059,231
747.121,224
747.182,222
747.244,206
747.305,194
747.367,193
747.429,183
747.49,184
747.552,163
747.613,149
747.675,139
747.736,131
747.798,134
747.86,136
747.921,156
747.983,180
748.044,188
748.106,194
748.167,210
748.229,206
748.291,188
748.352,170
748.414,140
748.475,120
748.537,128
748.599,142
748.66,155
748.722,158
748.783,156
748.845,158
748.907,157
748.968,172
749.03,172
749.091,180
749.153,188
749.215,180
749.276,186
749.338,182
749.4,176
749.461,188
749.523,187
749.585,179
749.646,184
749.708,184
749.77,194
749.831,210
749.893,214
749.954,211
750.016,210
750.078,208
750.139,198
750.201,195
750.263,206
750.324,204
750.386,209
750.448,197
750.51,186
750.571,185
750.633,185
750.695,182
750.756,170
750.818,164
750.88,165
750.941,163
751.003,180
751.065,195
751.126,194
751.188,183
751.25,165
751.312,153
751.373,139
751.435,129
751.497,119
751.559,117
751.62,118
751.682,114
751.744,126
751.805,123
751.867,137
751.929,142
751.991,141
752.052,143
752.114,147
752.176,155
752.238,155
752.299,150
752.361,142
752.423,137
752.485,135
752.546,138
752.608,141
752.67,133
752.732,131
752.794,132
752.855,136
752.917,147
752.979,153
753.041,165
753.103,164
753.164,170
753.226,179
753.288,189
753.35,195
753.411,184
753.473,173
753.535,176
753.597,159
753.659,156
753.721,153
753.782,151
753.844,152
753.906,161
753.968,162
754.03,148
754.091,159
754.153,160
754.215,154
754.277,161
754.339,153
754.401,144
754.463,153
754.524,149
754.586,142
754.648,146
754.71,154
754.772,152
754.834,149
754.896,152
754.957,157
755.019,182
755.081,189
755.143,189
755.205,171
755.267,155
755.329,155
755.391,148
755.452,135
755.514,122
755.576,108
755.638,87
755.7,88
755.762,93
755.824,96
755.886,107
755.948,115
756.01,122
756.071,129
756.133,133
756.195,130
756.257,131
756.319,126
756.381,122
756.443,128
756.505,122
756.567,139
756.629,144
756.691,140
756.753,140
756.815,136
756.877,143
756.939,164
757,187
757.062,212
757.124,233
757.186,231
757.248,229
757.31,226
757.372,210
757.434,192
757.496,167
757.558,149
757.62,130
757.682,120
757.744,111
757.806,106
757.868,104
757.93,112
757.992,109
758.054,119
758.116,130
758.178,139
758.24,154
758.302,162
758.364,172
758.426,165
758.488,169
758.55,161
758.612,152
758.674,146
758.736,128
758.798,121
758.86,126
758.922,141
758.984,159
759.046,173
759.108,180
759.17,177
759.232,172
759.294,174
759.357,174
759.419,180
759.481,182
759.543,178
759.605,177
759.667,182
759.729,186
759.791,194
759.853,200
759.915,194
759.977,197
760.039,195
760.101,189
760.163,176
760.225,179
760.288,186
760.35,186
760.412,195
760.474,202
760.536,201
760.598,190
760.66,182
760.722,168
760.784,145
760.846,134
760.909,137
760.971,130
761.033,125
761.095,136
761.157,146
761.219,152
761.281,169
761.343,187
761.406,184
761.468,193
761.53,204
761.592,206
761.654,198
761.716,201
761.778,177
761.841,173
761.903,186
761.965,201
762.027,206
762.089,208
762.151,206
762.214,193
762.276,183
762.338,186
762.4,197
762.462,195
762.524,208
762.587,202
762.649,187
762.711,183
762.773,177
762.835,170
762.898,171
762.96,189
763.022,192
763.084,198
763.146,204
763.209,198
763.271,185
763.333,175
763.395,161
763.457,143
763.52,138
763.582,123
763.644,125
763.706,137
763.769,145
763.831,169
763.893,170
763.955,165
764.018,165
764.08,151
764.142,148
764.204,148
764.267,150
764.329,152
764.391,156
764.453,159
764.516,151
764.578,145
764.64,143
764.702,144
764.765,144
764.827,162
764.889,179
764.951,190
765.014,213
765.076,208
765.138,192
765.201,173
765.263,144
765.325,124
765.388,112
765.45,117
765.512,113
765.574,115
765.637,128
765.699,128
765.761,145
765.824,146
765.886,143
765.948,146
766.011,144
766.073,132
766.135,123
766.198,120
766.26,109
766.322,108
766.385,115
766.447,115
766.509,120
766.572,128
766.634,139
766.696,143
766.759,148
766.821,156
766.883,154
766.946,161
767.008,165
767.071,157
767.133,139
767.195,128
767.258,116
767.32,109
767.382,108
767.445,118
767.507,125
767.57,117
767.632,118
767.694,114
767.757,120
767.819,128
767.882,139
767.944,140
768.006,139
768.069,145
768.131,141
768.194,144
768.256,139
768.318,140
768.381,140
768.443,145
768.506,169
768.568,171
768.631,176
768.693,167
768.755,155
768.818,174
768.88,172
768.943,171
769.005,168
769.068,172
769.13,191
769.193,207
769.255,234
769.317,261
769.38,288
769.442,311
769.505,324
769.567,342
769.63,326
769.692,307
769.755,294
769.817,249
769.88,228
769.942,207
770.005,188
770.067,198
770.13,216
770.192,239
770.255,270
770.317,316
770.38,377
770.442,441
770.505,507
770.567,527
770.63,476
770.692,426
770.755,362
770.817,331
770.88,322
770.942,313
771.005,304
771.067,297
771.13,332
771.192,369
771.255,440
771.318,547
771.38,692
771.443,825
771.505,942
771.568,985
771.63,936
771.693,869
771.755,779
771.818,686
771.881,593
771.943,525
772.006,461
772.068,429
772.131,449
772.193,481
772.256,551
772.319,652
772.381,769
772.444,882
772.506,974
772.569,1015
772.632,968
772.694,896
772.757,815
772.819,709
772.882,635
772.945,573
773.007,522
773.07,474
773.132,464
773.195,447
773.258,456
773.32,499
773.383,554
773.445,598
773.508,645
773.571,652
773.633,618
773.696,570
773.759,509
773.821,457
773.884,430
773.947,416
774.009,384
774.072,365
774.135,353
774.197,334
774.26,328
774.323,329
774.385,331
774.448,334
774.511,342
774.573,354
774.636,346
774.699,339
774.761,313
774.824,278
774.887,264
774.949,269
775.012,257
775.075,247
775.137,257
775.2,264
775.263,295
775.326,325
775.388,340
775.451,343
775.514,346
775.576,347
775.639,326
775.702,305
775.765,281
775.827,265
775.89,271
775.953,274
776.016,281
776.078,262
776.141,251
776.204,241
776.266,213
776.329,205
776.392,208
776.455,200
776.517,191
776.58,197
776.643,177
776.706,161
776.769,158
776.831,146
776.894,142
776.957,132
777.02,132
777.082,113
777.145,118
777.208,138
777.271,132
777.334,149
777.396,168
777.459,175
777.522,186
777.585,190
777.648,175
777.71,164
777.773,164
777.836,165
777.899,179
777.962,186
778.024,191
778.087,190
778.15,192
778.213,182
778.276,157
778.338,146
778.401,135
778.464,129
778.527,132
778.59,126
778.653,127
778.716,122
778.778,122
778.841,125
778.904,127
778.967,129
779.03,127
779.093,134
779.156,138
779.218,132
779.281,126
779.344,121
779.407,117
779.47,112
779.533,114
779.596,118
779.659,122
779.721,122
779.784,117
779.847,114
779.91,121
779.973,120
780.036,122
780.099,124
780.162,118
780.225,119
780.287,127
780.35,135
780.413,140
780.476,131
780.539,125
780.602,119
780.665,113
780.728,108
780.791,113
780.854,111
780.917,116
780.98,127
781.043,130
781.106,141
781.168,148
781.231,153
781.294,157
781.357,151
781.42,138
781.483,128
781.546,122
781.609,129
781.672,123
781.735,125
781.798,113
781.861,104
781.924,118
781.987,121
782.05,135
782.113,137
782.176,142
782.239,145
782.302,148
782.365,163
782.428,159
782.491,172
782.554,167
782.617,156
782.68,150
782.743,143
782.806,144
782.869,144
782.932,149
782.995,153
783.058,162
783.121,187
783.184,199
783.247,210
783.31,222
783.373,222
783.436,232
783.499,238
783.562,237
783.625,239
783.688,218
783.751,204
783.814,206
783.878,201
783.941,192
784.004,183
784.067,171
784.13,173
784.193,187
784.256,206
784.319,230
784.382,251
784.445,270
784.508,281
784.571,280
784.634,282
784.698,272
784.761,259
784.824,247
784.887,215
784.95,194
785.013,187
785.076,176
785.139,158
785.202,158
785.265,167
785.329,173
785.392,201
785.455,231
785.518,251
785.581,281
785.644,301
785.707,285
785.77,268
785.834,251
785.897,226
785.96,211
786.023,198
786.086,191
786.149,187
786.212,199
786.276,210
786.339,214
786.402,214
786.465,218
786.528,226
786.591,224
786.655,233
786.718,224
786.781,212
786.844,206
786.907,199
786.97,206
787.034,217
787.097,225
787.16,223
787.223,221
787.286,207
787.35,200
787.413,181
787.476,168
787.539,153
787.602,140
787.666,135
787.729,127
787.792,122
787.855,118
787.918,127
787.982,140
788.045,156
788.108,184
788.171,198
788.235,204
788.298,204
788.361,203
788.424,214
788.488,228
788.551,243
788.614,237
788.677,214
788.741,202
788.804,178
788.867,167
788.93,145
788.994,134
789.057,133
789.12,121
789.183,123
789.247,125
789.31,128
789.373,131
789.437,147
789.5,159
789.563,159
789.626,177
789.69,174
789.753,177
789.816,191
789.88,194
789.943,201
790.006,213
790.069,217
790.133,207
790.196,213
790.259,206
790.323,182
790.386,168
790.449,153
790.513,138
790.576,135
790.639,130
790.703,126
790.766,120
790.829,125
790.893,132
790.956,130
791.019,138
791.083,137
791.146,151
791.209,169
791.273,176
791.336,187
791.4,186
791.463,173
791.526,178
791.59,180
791.653,182
791.716,199
791.78,193
791.843,187
791.906,190
791.97,186
792.033,173
792.097,162
792.16,141
792.223,122
792.287,119
792.35,109
792.414,99
792.477,98
792.54,103
792.604,112
792.667,118
792.731,119
792.794,122
792.858,122
792.921,127
792.984,148
793.048,154
793.111,169
793.175,173
793.238,180
793.302,190
793.365,191
793.428,207
793.492,210
793.555,205
793.619,205
793.682,198
793.746,177
793.809,160
793.873,140
793.936,118
794,110
794.063,109
794.126,110
794.19,115
794.253,114
794.317,122
794.38,128
794.444,136
794.507,148
794.571,147
794.634,153
794.698,153
794.761,146
794.825,158
794.888,160
794.952,174
795.015,195
795.079,210
795.142,213
795.206,227
795.269,250
795.333,249
795.396,257
795.46,248
795.523,238
795.587,244
795.651,249
795.714,254
795.778,243
795.841,224
795.905,205
795.968,186
796.032,187
796.095,177
796.159,170
796.222,160
796.286,152
796.35,159
796.413,167
796.477,162
796.54,160
796.604,170
796.667,169
796.731,161
796.795,156
796.858,153
796.922,160
796.985,176
797.049,193
797.113,209
797.176,220
797.24,229
797.303,222
797.367,226
797.431,243
797.494,255
797.558,274
797.621,277
797.685,286
797.749,266
797.812,246
797.876,219
797.939,185
798.003,168
798.067,155
798.13,155
798.194,160
798.258,172
798.321,186
798.385,200
798.449,225
798.512,245
798.576,261
798.64,254
798.703,243
798.767,234
798.83,207
798.894,206
798.958,201
799.021,190
799.085,190
799.149,198
799.213,196
799.276,194
799.34,194
799.404,202
799.467,213
799.531,234
799.595,233
799.658,211
799.722,192
799.786,154
799.849,138
799.913,142
799.977,147
800.041,160
800.104,180
800.168,187
800.232,190
800.295,184
800.359,165
800.423,159
800.487,147
800.55,154
800.614,158
800.678,158
800.742,157
800.805,155
800.869,154
800.933,167
800.997,185
801.06,203
801.124,205
801.188,201
801.252,192
801.315,175
801.379,174
801.443,181
801.507,181
801.57,172
801.634,155
801.698,144
801.762,144
801.825,156
801.889,168
801.953,163
802.017,163
802.081,158
802.144,150
802.208,148
802.272,149
802.336,144
802.4,148
802.463,147
802.527,152
802.591,140
802.655,141
802.719,136
802.783,126
802.846,129
802.91,140
802.974,155
803.038,164
803.102,165
803.166,166
803.229,160
803.293,154
803.357,144
803.421,135
803.485,139
803.549,156
803.612,160
803.676,170
803.74,164
803.804,155
803.868,145
803.932,141
803.996,134
804.059,122
804.123,112
804.187,108
804.251,107
804.315,104
804.379,101
804.443,95
804.507,90
804.571,83
804.634,90
804.698,103
804.762,111
804.826,118
804.89,126
804.954,140
805.018,149
805.082,160
805.146,178
805.21,174
805.274,168
805.337,161
805.401,145
805.465,148
805.529,142
805.593,125
805.657,119
805.721,120
805.785,132
805.849,153
805.913,161
805.977,167
806.041,177
806.105,176
806.169,188
806.233,195
806.297,200
806.361,210
806.425,218
806.489,221
806.553,220
806.616,218
806.68,217
806.744,212
806.808,210
806.872,205
806.936,203
807,204
807.064,216
807.128,224
807.192,235
807.256,226
807.32,207
807.384,182
807.448,154
807.512,136
807.576,130
807.64,128
807.704,126
807.768,130
807.833,137
807.897,147
807.961,152
808.025,151
808.089,147
808.153,138
808.217,155
808.281,159
808.345,168
808.409,170
808.473,162
808.537,185
808.601,176
808.665,174
808.729,170
808.793,154
808.857,154
808.921,159
808.985,161
809.049,158
809.114,167
809.178,175
809.242,177
809.306,205
809.37,244
809.434,291
809.498,337
809.562,367
809.626,372
809.69,354
809.754,339
809.819,315
809.883,291
809.947,260
810.011,240
810.075,218
810.139,213
810.203,213
810.267,218
810.331,242
810.396,295
810.46,346
810.524,407
810.588,449
810.652,453
810.716,460
810.78,454
810.845,430
810.909,395
810.973,369
811.037,330
811.101,318
811.165,316
811.229,302
811.294,302
811.358,279
811.422,265
811.486,258
811.55,257
811.614,247
811.679,234
811.743,221
811.807,205
811.871,183
811.935,177
812,173
812.064,151
812.128,140
812.192,144
812.256,147
812.321,172
812.385,194
812.449,216
812.513,239
812.577,254
812.642,249
812.706,214
812.77,189
812.834,164
812.899,158
812.963,166
813.027,167
813.091,166
813.155,155
813.22,167
813.284,178
813.348,194
813.412,225
813.477,239
813.541,254
813.605,272
813.669,251
813.734,234
813.798,213
813.862,203
813.927,223
813.991,236
814.055,252
814.119,263
814.184,263
814.248,261
814.312,261
814.376,260
814.441,245
814.505,228
814.569,203
814.634,167
814.698,150
814.762,137
814.827,125
814.891,122
814.955,112
815.019,118
815.084,118
815.148,130
815.212,153
815.277,165
815.341,181
815.405,196
815.47,200
815.534,208
815.598,204
815.663,215
815.727,199
815.791,172
815.856,159
815.92,136
815.984,136
816.049,158
816.113,171
816.178,195
816.242,231
816.306,277
816.371,321
816.435,373
816.499,421
816.564,444
816.628,449
816.692,446
816.757,426
816.821,390
816.886,363
816.95,351
817.014,338
817.079,360
817.143,384
817.208,420
817.272,471
817.336,576
817.401,686
817.465,762
817.53,802
817.594,745
817.658,690
817.723,623
817.787,553
817.852,490
817.916,425
817.981,366
818.045,317
818.109,324
818.174,338
818.238,361
818.303,408
818.367,447
818.432,485
818.496,508
818.561,525
818.625,517
818.689,489
818.754,443
818.818,402
818.883,358
818.947,327
819.012,308
819.076,286
819.141,288
819.205,278
819.27,288
819.334,300
819.399,311
819.463,327
819.528,329
819.592,328
819.657,316
819.721,307
819.786,294
819.85,273
819.915,250
819.979,231
820.044,212
820.108,198
820.173,205
820.237,221
820.302,231
820.366,257
820.431,270
820.495,279
820.56,284
820.624,290
820.689,288
820.753,275
820.818,274
820.883,254
820.947,249
821.012,248
821.076,236
821.141,234
821.205,235
821.27,240
821.334,240
821.399,242
821.464,236
821.528,224
821.593,223
821.657,216
821.722,224
821.786,228
821.851,231
821.916,236
821.98,226
822.045,222
822.109,214
822.174,216
822.239,212
822.303,206
822.368,221
822.432,215
822.497,235
822.562,253
822.626,262
822.691,280
822.756,260
822.82,234
822.885,214
822.949,202
823.014,205
823.079,218
823.143,216
823.208,211
823.273,217
823.337,218
823.402,235
823.467,261
823.531,282
823.596,294
823.66,312
823.725,295
823.79,280
823.854,271
823.919,250
823.984,244
824.048,247
824.113,243
824.178,240
824.242,260
824.307,256
824.372,262
824.437,266
824.501,238
824.566,232
824.631,226
824.695,212
824.76,202
824.825,191
824.889,185
824.954,186
825.019,185
825.084,173
825.148,167
825.213,156
825.278,149
825.342,152
825.407,154
825.472,161
825.537,171
825.601,178
825.666,176
825.731,178
825.796,177
825.86,168
825.925,162
825.99,159
826.055,152
826.119,148
826.184,151
826.249,158
826.314,173
826.378,190
826.443,202
826.508,205
826.573,204
826.637,192
826.702,192
826.767,185
826.832,173
826.897,160
826.961,147
827.026,137
827.091,131
827.156,160
827.221,182
827.285,202
827.35,228
827.415,230
827.48,218
827.545,215
827.609,210
827.674,188
827.739,166
827.804,148
827.869,129
827.933,127
827.998,128
828.063,130
828.128,121
828.193,125
828.258,125
828.322,115
828.387,124
828.452,127
828.517,135
828.582,152
828.647,150
828.712,150
828.776,154
828.841,162
828.906,165
828.971,168
829.036,169
829.101,172
829.166,169
829.231,178
829.295,188
829.36,183
829.425,197
829.49,208
829.555,214
829.62,217
829.685,202
829.75,189
829.815,178
829.879,175
829.944,171
830.009,167
830.074,167
830.139,171
830.204,171
830.269,177
830.334,176
830.399,169
830.464,182
830.529,195
830.594,201
830.658,212
830.723,208
830.788,205
830.853,197
830.918,180
830.983,166
831.048,159
831.113,156
831.178,168
831.243,188
831.308,207
831.373,222
831.438,233
831.503,251
831.568,242
831.633,229
831.698,205
831.763,178
831.828,174
831.893,174
831.958,174
832.023,180
832.088,190
832.153,201
832.218,221
832.283,264
832.348,310
832.413,352
832.478,394
832.543,416
832.608,404
832.673,384
832.738,367
832.803,340
832.868,334
832.933,322
